model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy
BERT,512,512,64,1,784.19,0.000043,2.096300
BERT,3072,1024,3024,1,3384.40,0.005621,7.340750
ViT,3072,1024,3024,1,3383.93,0.005622,7.798050
ViT,3072,3072,1024,1,3397.26,0.005689,8.683700
ViT,3072,1024,1024,1,3326.72,0.001937,6.584350
ViT,3072,4096,1024,1,3403.55,0.007571,9.224100
ViT,3072,1024,4096,1,3394.62,0.007591,8.621800
ViT,64,64,64,1,10.29,0.000051,2.458100
NCF,3072,2048,4096,1,3419.57,0.015072,7.920350
NCF,3072,1024,2048,1,3362.99,0.003831,6.154400
NCF,3072,512,1024,1,3237.04,0.000995,5.032450
NCF,3072,256,512,1,2976.57,0.000271,4.103700
NCF,3072,128,256,1,2148.79,0.000094,3.109300
NCF,3072,64,128,1,968.86,0.000052,2.781050
NCF,3072,32,64,1,299.52,0.000042,2.557050
MLP,3072,4096,2048,1,3422.28,0.015060,7.479100
MLP,3072,4096,4096,1,3455.14,0.029834,8.691900
MLP,3072,1024,4096,1,3391.21,0.007599,7.651050
