Test,Energy
BERT_I512_K64_J512_B1_runs200(VIN_SYS_5V0),2.096300
BERT_I3072_K3024_J1024_B1_runs20(VIN_SYS_5V0),7.340750
ViT_I3072_K3024_J1024_B1_runs20(VIN_SYS_5V0),7.798050
ViT_I3072_K1024_J3072_B1_runs20(VIN_SYS_5V0),8.683700
ViT_I3072_K1024_J1024_B1_runs50(VIN_SYS_5V0),6.584350
ViT_I3072_K1024_J4096_B1_runs20(VIN_SYS_5V0),9.224100
ViT_I3072_K4096_J1024_B1_runs20(VIN_SYS_5V0),8.621800
ViT_I64_K64_J64_B1_runs500(VIN_SYS_5V0),2.458100
NCF_I3072_K4096_J2048_B1_runs10(VIN_SYS_5V0),7.920350
NCF_I3072_K2048_J1024_B1_runs20(VIN_SYS_5V0),6.154400
NCF_I3072_K1024_J512_B1_runs50(VIN_SYS_5V0),5.032450
NCF_I3072_K512_J256_B1_runs100(VIN_SYS_5V0),4.103700
NCF_I3072_K256_J128_B1_runs200(VIN_SYS_5V0),3.109300
NCF_I3072_K128_J64_B1_runs200(VIN_SYS_5V0),2.781050
NCF_I3072_K64_J32_B1_runs500(VIN_SYS_5V0),2.557050
MLP_I3072_K2048_J4096_B1_runs10(VIN_SYS_5V0),7.479100
MLP_I3072_K4096_J4096_B1_runs10(VIN_SYS_5V0),8.691900
MLP_I3072_K4096_J1024_B1_runs20(VIN_SYS_5V0),7.651050
