model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_2,512,896,896,1,1297.74,0.000633,18.354110,23301.335
MISC_2,512,128,896,1,1005.14,0.000117,12.473150,26880.167
MISC_2,512,4864,896,1,1368.75,0.003260,26.008830,30240.587
MISC_2,512,896,4896,1,1304.82,0.003443,23.320640,27105.088
MISC_2,512,2048,2048,1,1362.98,0.003151,24.190160,29139.854
MISC_2,512,512,2048,1,1024.07,0.001048,22.314780,29359.076
MISC_2,512,8192,2048,1,1356.54,0.012665,45.129980,37608.317
MISC_2,512,2048,8192,1,1318.15,0.013033,46.163040,38469.200
MISC_2,224,768,768,1,1138.23,0.000232,12.020550,24073.527
MISC_2,224,224,64,1,246.43,0.000026,4.330300,12960.648
MISC_2,224,3072,768,1,1288.62,0.000820,23.601740,31036.383
MISC_2,224,768,3072,1,1176.85,0.000898,23.390830,30372.765
MISC_2,224,96,96,1,189.72,0.000022,3.234380,12449.440
MISC_2,224,64,224,1,218.44,0.000029,3.945340,10323.132
MISC_2,224,384,96,1,665.92,0.000025,3.251620,11328.370
MISC_2,224,96,384,1,558.52,0.000030,3.872820,12622.581
MISC_2,288,1536,1536,1,1273.89,0.001067,16.798400,23250.801
MISC_2,288,288,64,1,342.79,0.000031,12.204520,25809.288
MISC_2,288,64,288,1,367.06,0.000029,25.798790,30349.576
MISC_2,288,6144,1536,1,1331.79,0.004082,22.564450,26867.356
MISC_2,288,1536,6144,1,1274.82,0.004264,25.551720,29363.082
MISC_2,512,1536,1536,1,1371.77,0.001761,21.995720,29327.627
MISC_2,512,512,192,1,1178.74,0.000085,45.025010,37520.842
MISC_2,512,192,512,1,898.04,0.000112,46.125180,38437.650
MISC_2,512,6144,1536,1,1318.13,0.007331,15.739440,25777.203
MISC_2,512,1536,6144,1,1355.85,0.007127,2.314020,11570.100
