model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC,512,896,512,1,1158.41,0.000406,18.354110,23301.335
MISC,512,128,896,1,1001.87,0.000117,12.473150,26880.167
MISC,512,4864,896,1,1371.49,0.003254,26.008830,30240.587
MISC,512,896,4896,1,1303.84,0.003445,23.320640,27105.088
MISC,512,2048,2048,1,1362.12,0.003153,24.190160,29139.854
MISC,512,512,2048,1,1025.13,0.001047,22.314780,29359.076
MISC,512,8192,2048,1,1348.38,0.012741,45.129980,37608.317
MISC,512,2048,8192,1,1355.15,0.012677,46.163040,38469.200
MISC,224,768,768,1,1149.26,0.000230,12.020550,24073.527
MISC,224,224,64,1,336.35,0.000019,4.330300,12960.648
MISC,224,3072,768,1,1287.57,0.000821,23.601740,31036.383
MISC,224,768,3072,1,1173.36,0.000901,23.390830,30372.765
MISC,224,96,96,1,158.04,0.000026,3.234380,12449.440
MISC,224,64,224,1,215.06,0.000030,3.945340,10323.132
MISC,224,384,96,1,655.22,0.000025,3.251620,11328.370
MISC,224,96,384,1,552.43,0.000030,3.872820,12622.581
