model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy,Avg_Power_mW
BERT,512,64,512,1,477.95,0.000070,5.446950,8398.233
BERT,512,512,64,1,943.14,0.000036,4.510660,14201.676
BERT,3072,3024,1024,1,1234.29,0.015414,49.762410,38278.777
BERT,3072,3072,1024,1,1350.00,0.014317,52.794470,39107.015
ViT,3072,3024,1024,1,1241.73,0.015322,51.126210,39029.301
ViT,3072,1024,3072,1,1344.01,0.014380,50.297540,37257.437
ViT,3072,1024,1024,1,1351.74,0.004766,31.027050,34474.500
ViT,3072,1024,4096,1,1390.19,0.018537,66.978510,38942.504
ViT,3072,4096,1024,1,1345.88,0.019147,58.764850,35189.825
ViT,64,64,64,1,27.70,0.000019,3.276480,11074.579
NCF,3072,4096,2048,1,1386.49,0.037173,114.755480,36430.311
NCF,3072,2048,1024,1,1317.51,0.009780,34.325390,36131.989
NCF,3072,1024,512,1,1274.16,0.002528,25.724730,29557.110
NCF,3072,512,256,1,1300.10,0.000619,20.917420,28253.455
NCF,3072,256,128,1,1226.34,0.000164,13.546600,25329.991
NCF,3072,128,64,1,992.70,0.000051,6.223350,20077.460
NCF,3072,64,32,1,487.99,0.000026,5.238810,16066.991
NCF,3072,32,16,1,172.25,0.000018,3.693010,12874.079
NCF,3072,32,1,1,10.87,0.000018,2.684930,10107.516
MLP,3072,2048,4096,1,1395.70,0.036928,116.028990,36259.059
MLP,3072,4096,4096,1,1387.18,0.074309,245.003920,39516.761
MLP,3072,4096,1024,1,1338.22,0.019257,59.175230,35224.298
MLP,2816,3072,8192,1,1305.91,0.108533,428.865640,48459.394
