model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,162.47,0.000040,3.658000,5946.552
MISC_3,224,96,96,1,155.59,0.000027,1.837180,6498.401
MISC_3,224,224,64,1,248.02,0.000026,1.847450,6713.182
MISC_3,224,384,96,1,481.99,0.000034,4.265920,9695.242
MISC_3,224,768,768,1,761.79,0.000347,7.739020,12638.786
MISC_3,512,96,512,1,445.66,0.000113,7.451120,12176.632
MISC_3,512,128,896,1,687.97,0.000171,7.110550,14066.079
MISC_3,512,192,512,1,609.23,0.000165,5.980430,12460.548
MISC_3,512,512,96,1,693.61,0.000073,3.838640,10108.635
MISC_3,512,512,2048,1,702.42,0.001529,12.032130,15431.588
MISC_3,512,896,4864,1,863.56,0.005168,11.627190,13509.785
MISC_3,512,1536,6144,1,895.86,0.010787,18.151200,17286.857
MISC_3,512,2048,2048,1,892.59,0.004812,13.350310,14833.678
MISC_3,512,2048,8192,1,899.09,0.019108,33.016890,19421.700
MISC_3,512,2560,2560,1,885.55,0.007578,15.630410,17367.122
MISC_3,512,2560,10240,1,900.51,0.029809,53.837360,20706.677
MISC_3,512,4864,896,1,900.70,0.004955,13.444110,15455.507
MISC_3,512,6144,1536,1,891.30,0.010842,19.228600,18312.952
MISC_3,512,8192,2048,1,896.79,0.019157,32.936270,19259.167
MISC_3,512,10240,2560,1,842.49,0.031862,53.496120,19453.135
