model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC,512,896,512,1,731.86,0.000642,9.002150,10336.791
MISC,512,128,896,1,679.61,0.000173,7.140970,11934.798
MISC,512,4864,896,1,592.83,0.007528,17.710850,14288.122
MISC,512,896,4896,1,771.26,0.005824,13.137370,13008.807
MISC,512,2048,2048,1,784.22,0.005477,12.649280,12515.315
MISC,512,512,2048,1,733.37,0.001464,12.445050,13102.115
MISC,512,8192,2048,1,766.83,0.022404,31.907600,14374.194
MISC,512,2048,8192,1,741.15,0.023180,33.432740,14473.397
MISC,224,768,768,1,702.64,0.000376,8.972430,12221.334
MISC,224,224,64,1,239.16,0.000027,2.860680,7253.644
MISC,224,3072,768,1,641.81,0.001647,14.377030,13677.827
MISC,224,768,3072,1,638.93,0.001654,14.966360,13987.719
MISC,224,96,96,1,160.45,0.000026,2.255540,6355.008
MISC,224,64,224,1,160.71,0.000040,2.669450,5880.390
MISC,224,384,96,1,427.95,0.000039,3.262150,7861.622
MISC,224,96,384,1,292.75,0.000056,4.415940,8742.896
