model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_2,512,896,896,1,759.98,0.001082,9.002150,10336.791
MISC_2,512,128,896,1,679.60,0.000173,7.140970,11934.798
MISC_2,512,4864,896,1,594.98,0.007501,17.710850,14288.122
MISC_2,512,896,4896,1,775.65,0.005791,13.137370,13008.807
MISC_2,512,2048,2048,1,790.96,0.005430,12.649280,12515.315
MISC_2,512,512,2048,1,739.65,0.001452,12.445050,13102.115
MISC_2,512,8192,2048,1,760.46,0.022592,31.907600,14374.194
MISC_2,512,2048,8192,1,733.78,0.023413,33.432740,14473.397
MISC_2,224,768,768,1,702.49,0.000376,8.972430,12221.334
MISC_2,224,224,64,1,209.88,0.000031,2.860680,7253.644
MISC_2,224,3072,768,1,620.87,0.001702,14.377030,13677.827
MISC_2,224,768,3072,1,643.91,0.001641,14.966360,13987.719
MISC_2,224,96,96,1,151.37,0.000027,2.255540,6355.008
MISC_2,224,64,224,1,151.60,0.000042,2.669450,5880.390
MISC_2,224,384,96,1,471.27,0.000035,3.262150,7861.622
MISC_2,224,96,384,1,292.37,0.000056,4.415940,8742.896
MISC_2,288,1536,1536,1,638.70,0.002128,10.459160,11135.785
MISC_2,288,288,64,1,309.01,0.000034,6.414680,11780.839
MISC_2,288,64,288,1,258.72,0.000041,17.720130,14172.717
MISC_2,288,6144,1536,1,588.27,0.009240,13.238540,13105.543
MISC_2,288,1536,6144,1,611.31,0.008892,12.358650,12618.790
MISC_2,512,1536,1536,1,748.37,0.003228,12.563870,13074.634
MISC_2,512,512,192,1,679.37,0.000148,31.910310,14310.323
MISC_2,512,192,512,1,669.62,0.000150,33.390610,14454.264
MISC_2,512,6144,1536,1,704.34,0.013720,8.196970,11965.233
MISC_2,512,1536,6144,1,566.27,0.017066,2.666070,6842.299
