model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy,Avg_Power_mW
BERT,512,64,512,1,514.06,0.000065,6.333140,9744.433
BERT,512,512,64,1,603.14,0.000056,3.016650,8341.554
BERT,3072,3024,1024,1,538.92,0.035303,39.939720,14628.041
BERT,3072,3072,1024,1,541.58,0.035687,40.242180,14687.126
ViT,3072,3024,1024,1,534.91,0.035568,40.284200,14702.104
ViT,3072,1024,3072,1,685.24,0.028205,51.030660,14921.052
ViT,3072,1024,1024,1,752.23,0.008565,15.733090,13680.691
ViT,3072,1024,4096,1,660.12,0.039038,68.749860,15043.806
ViT,3072,4096,1024,1,523.05,0.049268,55.294250,14904.332
ViT,64,64,64,1,22.53,0.000023,1.894470,5548.054
NCF,3072,4096,2048,1,645.16,0.079887,110.725070,15084.873
NCF,3072,2048,1024,1,494.08,0.026079,26.732520,14371.752
NCF,3072,1024,512,1,686.77,0.004690,14.256560,13579.938
NCF,3072,512,256,1,708.70,0.001136,12.450620,13237.438
NCF,3072,256,128,1,721.69,0.000279,7.928350,12317.535
NCF,3072,128,64,1,622.34,0.000081,8.283860,12362.568
NCF,3072,64,32,1,296.76,0.000042,2.717950,7864.927
NCF,3072,32,16,1,107.42,0.000029,3.126690,7607.723
NCF,3072,32,1,1,7.94,0.000025,2.440320,6118.997
MLP,3072,2048,4096,1,648.27,0.079504,113.055640,15114.286
MLP,3072,4096,4096,1,474.11,0.217416,304.558940,15327.567
MLP,3072,4096,1024,1,517.42,0.049804,55.916870,14911.165
MLP,2816,3072,8192,1,455.95,0.310853,326.388090,15316.201
