model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,132.41,0.000049,3.567890,4779.732
MISC_3,224,96,96,1,127.99,0.000032,1.826890,5102.819
MISC_3,224,224,64,1,209.58,0.000031,2.776990,6171.089
MISC_3,224,384,96,1,388.83,0.000042,3.285420,7850.909
MISC_3,224,768,768,1,705.78,0.000374,9.003930,12457.419
MISC_3,512,96,512,1,618.47,0.000081,3.861750,10355.727
MISC_3,512,128,896,1,681.71,0.000172,7.727560,12387.246
MISC_3,512,192,512,1,709.60,0.000142,6.992110,12863.688
MISC_3,512,512,96,1,632.70,0.000080,4.076820,10406.463
MISC_3,512,512,2048,1,756.06,0.001420,12.592340,13679.074
MISC_3,512,896,4864,1,780.04,0.005721,14.221120,13800.639
MISC_3,512,1536,6144,1,762.13,0.012680,24.511070,18161.807
MISC_3,512,2048,2048,1,779.85,0.005507,13.535580,13667.927
MISC_3,512,2048,8192,1,819.97,0.020952,34.095270,15932.444
MISC_3,512,2560,2560,1,740.97,0.009057,18.374530,17026.701
MISC_3,512,2560,10240,1,820.66,0.032710,51.157840,16188.746
MISC_3,512,4864,896,1,771.66,0.005783,18.961510,17556.024
MISC_3,512,6144,1536,1,831.55,0.011621,20.460620,16116.250
MISC_3,512,8192,2048,1,819.26,0.020970,32.663310,15480.529
MISC_3,512,10240,2560,1,688.38,0.038995,72.973590,19511.838
