model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_3,224,64,224,1,156.06,0.000041,2.754180,4406.903
MISC_3,224,96,96,1,119.37,0.000035,2.850890,5475.617
MISC_3,224,224,64,1,166.77,0.000039,3.383210,6031.212
MISC_3,224,384,96,1,255.36,0.000065,3.287120,6582.086
MISC_3,224,768,768,1,329.38,0.000802,6.093480,6904.731
MISC_3,512,96,512,1,308.04,0.000163,4.748450,7801.685
MISC_3,512,128,896,1,312.66,0.000376,6.088060,7711.735
MISC_3,512,192,512,1,341.01,0.000295,4.841820,7657.697
MISC_3,512,512,96,1,308.13,0.000163,5.239150,7701.375
MISC_3,512,512,2048,1,346.90,0.003095,6.769970,7056.245
MISC_3,512,896,4864,1,361.39,0.012349,9.462270,7062.032
MISC_3,512,1536,6144,1,382.34,0.025275,21.803590,8794.764
MISC_3,512,2048,2048,1,372.73,0.011523,8.460290,6942.967
MISC_3,512,2048,8192,1,380.99,0.045093,33.659030,7755.748
MISC_3,512,2560,2560,1,358.53,0.018718,17.312870,9109.908
MISC_3,512,2560,10240,1,383.50,0.069996,51.940730,7822.694
MISC_3,512,4864,896,1,377.04,0.011836,10.893300,8510.634
MISC_3,512,6144,1536,1,385.71,0.025054,20.073630,7967.515
MISC_3,512,8192,2048,1,382.08,0.044964,32.003700,7459.357
MISC_3,512,10240,2560,1,359.99,0.074568,70.365600,10009.289
