model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC,512,896,512,1,2723.99,0.000172,15.126040,27021.066
MISC,512,128,896,1,1808.57,0.000065,14.114010,27628.440
MISC,512,4864,896,1,3182.46,0.001402,31.334850,39523.149
MISC,512,896,4896,1,2921.33,0.001538,28.176340,34777.068
MISC,512,2048,2048,1,3220.80,0.001334,32.676040,39378.687
MISC,512,512,2048,1,3095.02,0.000347,24.707450,36306.690
MISC,512,8192,2048,1,3389.98,0.005068,41.123540,41479.297
MISC,512,2048,8192,1,1322.43,0.012991,47.033480,31565.221
MISC,224,768,768,1,2163.66,0.000122,15.439930,27549.582
MISC,224,224,64,1,153.49,0.000042,5.700060,11767.413
MISC,224,3072,768,1,2669.36,0.000396,20.219340,30699.655
MISC,224,768,3072,1,2499.66,0.000423,21.531970,33276.171
MISC,224,96,96,1,101.08,0.000041,5.711580,12226.695
MISC,224,64,224,1,133.02,0.000048,5.332550,10063.220
MISC,224,384,96,1,376.95,0.000044,4.362680,10103.991
MISC,224,96,384,1,222.42,0.000074,3.995260,9950.614
