model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy_J,Avg_Power_mW
MISC_2,512,896,896,1,2918.26,0.000282,15.126040,27021.066
MISC_2,512,128,896,1,1759.43,0.000067,14.114010,27628.440
MISC_2,512,4864,896,1,3127.34,0.001427,31.334850,39523.149
MISC_2,512,896,4896,1,2911.92,0.001543,28.176340,34777.068
MISC_2,512,2048,2048,1,3242.88,0.001324,32.676040,39378.687
MISC_2,512,512,2048,1,3010.12,0.000357,24.707450,36306.690
MISC_2,512,8192,2048,1,3389.28,0.005069,41.123540,41479.297
MISC_2,512,2048,8192,1,1323.66,0.012979,47.033480,31565.221
MISC_2,224,768,768,1,1987.55,0.000133,15.439930,27549.582
MISC_2,224,224,64,1,149.34,0.000043,5.700060,11767.413
MISC_2,224,3072,768,1,2625.30,0.000403,20.219340,30699.655
MISC_2,224,768,3072,1,2559.52,0.000413,21.531970,33276.171
MISC_2,224,96,96,1,99.01,0.000042,5.711580,12226.695
MISC_2,224,64,224,1,132.35,0.000049,5.332550,10063.220
MISC_2,224,384,96,1,375.37,0.000044,4.362680,10103.991
MISC_2,224,96,384,1,157.20,0.000105,3.995260,9950.614
MISC_2,288,1536,1536,1,2767.77,0.000491,17.650760,28586.758
MISC_2,288,288,64,1,247.66,0.000043,11.035570,24114.413
MISC_2,288,64,288,1,199.29,0.000053,30.367360,38831.591
MISC_2,288,6144,1536,1,2954.84,0.001840,27.344690,34180.863
MISC_2,288,1536,6144,1,2653.08,0.002049,31.569000,38440.825
MISC_2,512,1536,1536,1,3197.65,0.000756,22.938970,35043.638
MISC_2,512,512,192,1,1706.09,0.000059,38.041980,40465.616
MISC_2,512,192,512,1,1350.22,0.000075,45.895730,31652.228
MISC_2,512,6144,1536,1,3359.19,0.002877,11.808130,24830.036
MISC_2,512,1536,6144,1,3233.33,0.002989,4.875770,10912.427
