model,I,J,K,BATCH_SIZE,throughput_gops,latency_sec,Energy,Avg_Power_mW
BERT,512,512,64,1,696.10,0.000048,1.803100,4096.040
BERT,512,64,512,1,630.04,0.000053,1.627800,4069.500
BERT,3072,1024,3024,1,3384.40,0.005621,7.093300,6896.196
BERT,3072,1024,3072,1,3388.71,0.005703,7.153360,7077.208
ViT,3072,1024,3024,1,3366.69,0.005651,7.129120,7051.927
ViT,3072,3072,1024,1,3395.19,0.005693,8.694660,8599.400
ViT,3072,1024,1024,1,3326.78,0.001937,6.136710,6976.640
ViT,3072,4096,1024,1,3403.22,0.007572,9.903040,8764.858
ViT,3072,1024,4096,1,3393.35,0.007594,8.162440,7284.331
ViT,64,64,64,1,12.56,0.000042,2.157880,4424.113
NCF,3072,2048,4096,1,3418.49,0.015077,11.721880,6939.707
NCF,3072,1024,2048,1,3363.68,0.003831,6.240320,7011.574
NCF,3072,512,1024,1,3268.87,0.000985,4.697220,6103.929
NCF,3072,256,512,1,2965.70,0.000272,4.046420,6524.697
NCF,3072,128,256,1,2171.84,0.000093,2.678180,5940.257
NCF,3072,64,128,1,968.68,0.000052,2.324920,5046.029
NCF,3072,32,64,1,295.85,0.000043,2.187750,4375.500
NCF,3072,16,32,1,75.52,0.000042,1.904850,4138.927
NCF,3072,1,32,1,4.64,0.000042,1.494790,4038.216
MLP,3072,4096,2048,1,3421.27,0.015064,10.839140,6375.965
MLP,3072,4096,4096,1,3455.74,0.029828,20.607270,6626.125
MLP,3072,1024,4096,1,3391.53,0.007598,8.277060,7260.614
MLP,2816,8192,3072,1,3442.48,0.041172,28.330560,6713.453
